,Calle,Colonia,Delegacion,Estado,Foto,HerramientasFaltantes,HerramientasSobrantes,Hora,HoradelReporte,ManodeObraFaltante,ManodeObraSobrantes,MedicamentosFaltantes,MedicamentosSobrantes,NumeroExterioroAproximado,NumerodePersonasAtrapadas,NumerodePersonasDesaparecidas,NumerodePersonasFallecidas,NumerodePersonasLesionadas,NumerodePersonasRescatadas,OtraReferenciadeUbicacion,Timestamp,TipodeInfraestructura,TipodeUso,TipodelDano,Verificado,ViveresFaltantes,ViveresSobrantes,latitud,longitud
307,,polanco,miguel hidalgo,cdmx,,,,,,,,,,,,,,,,,2017-09-20 02:09:13,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Transporte, Manos, Artículos de limpieza, Ropa",,19.4289611,-99.1973637
308,,ROMA,CUAUHTÉMOC,CDMX,,,,,,,,,,,,,,,,,2017-09-20 02:14:52,,,Ofrezco,,"Comida, Agua, Manos, Medicamentos",,19.4199328,-99.159356
309,,tepalcates,iztapalapa,cdmx,,,,,,,,,,,,,,,,,2017-09-20 02:22:15,,,Ofrezco,,"Manos, Ropa",,19.3863348,-99.0538963
310,,Consejo Agrarista,Iztapalapa,CdMx,,,,,,,,,,,,,,,,,2017-09-20 02:26:29,,,Ofrezco,,"Agua, Refugio / Dónde dormir, Manos, Ropa",,19.3254765,-99.0531677
311,,Condesa,Cuauhtémoc ,México D.F. Condesa,,,,,,,,,,,,,,,,,2017-09-20 02:32:53,,,Ofrezco,,"Transporte, Manos",,19.4162037,-99.1720924
312,,Valle de Aragón ,Ecatepec ,Estado de México ,,,,,,,,,,,,,,,,,2017-09-20 02:44:10,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Artículos de limpieza, Medicamentos, Ropa, Gasolina",,19.4983154,-99.0367249
313,,Jardines de santa clara,Ecatepec,México ,,,,,,,,,,,,,,,,,2017-09-20 02:44:33,,,Ofrezco,,"Comida, Agua, Manos, Ropa",,19.5457257,-99.0391431
314,,Portales ,,DF,,,,,,,,,,,,,,,,,2017-09-20 03:00:13,,,Ofrezco,,"Agua, Transporte",,19.3627684,-99.1571426
315,,Héroes de la Revolución,Naucalpan,México,,,,,,,,,,,,,,,,,2017-09-20 03:08:34,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Medicamentos, Ropa",,19.4294177,-99.2411459
316,,Lomas de Santa Fe,Álvaro Obregón,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 03:16:56,,,Ofrezco,,Refugio / Dónde dormir,,19.3594791,-99.2707271
317,,Lázaro Cárdenas,,Nuevo Leon,,,,,,,,,,,,,,,,,2017-09-20 03:18:57,,,Ofrezco,,"Asistencia médica, Somos un gpo de Mty a dar apoyo psicológico",,25.7467632,-100.3238291
318,,Esperanza,Chihuahua,Chihuahua,,,,,,,,,,,,,,,,Estoy en Chihuahua pero de ser necesario puedo estar en unos hrs donde se necesite,2017-09-20 03:49:57,,,Ofrezco,,"Manos, Asistencia médica, Medicamentos",,28.5921247,-106.1125201
319,,Alpes,Álvaro Obregón ,CDMX,,,,,,,,,,,,,,,,,2017-09-20 04:01:17,,,Ofrezco,,"Comida, Agua",,19.4186243,-99.2195513
320,,Tepetates ,Los reyes la paz ,Estado de mexico,,,,,,,,,,,,,,,,,2017-09-20 04:23:40,,,Ofrezco,,"Comida, Agua, Ropa",,19.38628,-98.9483399
321,,Independencia,Benito Juárez,CDMX,,,,,,,,,,,,,,,,,2017-09-20 04:25:10,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Artículos de limpieza, Medicamentos, Ropa",,19.492003,-99.0814076
322,,Privanza del condado ,León ,Guanajuato ,,,,,,,,,,,,,,,,,2017-09-20 05:49:06,,,Ofrezco,,Manos,,21.1603469,-101.6509697
323,,Portales,Benito juarez,Cdmx,,,,,,,,,,,,,,,,,2017-09-20 06:00:52,,,Ofrezco,,Manos,,19.3692406,-99.1497664
324,,Arenal de Guadalupe ,Tlalpan,Cdmx,,,,,,,,,,,,,,,,,2017-09-20 06:24:52,,,Ofrezco,,"Refugio / Dónde dormir, Manos, Ropa",,19.2901399,-99.1491222
325,,San Pedro xalpa,Azcapotzalco,ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 06:30:59,,,Ofrezco,,Manos,,19.336415,-99.1241606
326,,San Jerónimo Lídice,Magdalena Contreras,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 06:39:20,,,Ofrezco,,Manos,,19.3271667,-99.2245237
327,,san antonio,azcspotzalco,cd de mexico,,,,,,,,,,,,,,,,En lo que se pueda ayudar,2017-09-20 06:41:03,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Artículos de limpieza, Ropa",,19.4020343,-99.1455321
328,,San angel ,Álvaro Obregón ,Cdmx,,,,,,,,,,,,,,,,,2017-09-20 06:51:02,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Transporte, Manos, Asistencia médica, Ropa",,19.3712255,-99.1879162
329,,Cuauhtemoc,Cuauhtemoc,Mexico city,,,,,,,,,,,,,,,,Localizarme al 5522998664. ,2017-09-20 07:23:29,,,Ofrezco,,Servicios de traducción oral inglés-español,,19.3465012,-99.0996018
330,,Agrícola oriental,Iztacalco,CD MX,,,,,,,,,,,,,,,,,2017-09-20 07:30:34,,,Ofrezco,,"Agua, Refugio / Dónde dormir, Transporte, Manos",,19.3956874,-99.0834813
331,,Ciudad de los deportes,Benito Juárez,México ,,,,,,,,,,,,,,,,,2017-09-20 07:31:58,,,Ofrezco,,Manos,,19.4597973,-99.1136279
332,,Olivar de los padres ,Álvaro Obregón ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 07:39:41,,,Ofrezco,,"Transporte, Manos",,19.3386603,-99.2410868
333,,Ajusco,Álvaro obregon,DF,,,,,,,,,,,,,,,,,2017-09-20 07:47:18,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Medicamentos, Ropa",,19.3215486,-99.1608372
334,,Florida,Álvaro Obregón ,Df,,,,,,,,,,,,,,,,,2017-09-20 07:59:43,,,Ofrezco,,"Comida, Agua",,19.3490287,-99.1744868
335,,Del Valle,Benito Juárez,CDMX,,,,,,,,,,,,,,,,"En mi casa hay dos médicos, ambos pueden ayudar pero ya son algo mayores. Yo solo tengo manos y energía. ",2017-09-20 08:05:44,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Asistencia médica, Artículos de limpieza, Medicamentos, Ropa",,19.3910737,-99.1657372
336,,Olivar de los padres ,Álvaro Obregón ,CDMX,,,,,,,,,,,,,,,,,2017-09-20 08:06:52,,,Ofrezco,,"Transporte, Manos",,19.3386603,-99.2410868
337,,Alianza Popular Revolucionaria,Coyoacán,México DF,,,,,,,,,,,,,,,,Internet y luz,2017-09-20 08:09:32,,,Ofrezco,,"Refugio / Dónde dormir, Transporte, Asistencia médica",,19.2760906,-99.1661901
338,,San Mateo Tlaltenango ,Cuajimalpa ,Ciudad de Mexico,,,,,,,,,,,,,,,,,2017-09-20 08:30:05,,,Ofrezco,,Manos,,19.3468419,-99.2741168
339,,Hipodromo,Cuahutemoc ,Distrito Federal,,,,,,,,,,,,,,,,,2017-09-20 08:31:16,,,Ofrezco,,"Refugio / Dónde dormir, Peritajes",,19.4128949,-99.1699512
340,,Roma norte ,Cuauhtémoc ,CDMX ,,,,,,,,,,,,,,,,Tengo un coche pequeño que quedo en mi lugar de trabajo pero creo que puedo ir por el por si hay que transportar algo y llevarlo hasta donde se necesite. También tengo credencial de Ecobici y si están funcionando puedo usarla para llevar algo de un lugar a otro. ,2017-09-20 08:36:37,,,Ofrezco,,"Transporte, Manos",,19.4191628,-99.1565023
341,,América,Miguel Hidalgo,CDMX,,,,,,,,,,,,,,,,"Libre a partir del medio día del 20 de Sept, puedo trasladarme a lugares lejanos donde exista escaso apoyo.",2017-09-20 08:37:21,,,Ofrezco,,Manos,,19.4041067,-99.2030585
342,,Del Valle centro,Benito Juárez ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 08:39:18,,,Ofrezco,,"Refugio / Dónde dormir, Manos, Carpas, tiendas de campaña, Ropa",,19.3797151,-99.1677132
343,,Acasias,Benito juarez,Ciudad de mexico,,,,,,,,,,,,,,,,Médico titulado,2017-09-20 08:47:13,,,Ofrezco,,Asistencia médica,,19.3636967,-99.1733329
344,,Anahuac,Miguel Hidalgo,CDMX,,,,,,,,,,,,,,,,,2017-09-20 08:47:44,,,Ofrezco,,"Transporte, Manos, Medicamentos",,19.4413563,-99.1802147
345,,Pedregal,,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 08:48:00,,,Ofrezco,,Asistencia médica,,19.3205752,-99.2092897
346,,La Candelaria,Coyoacan,Ciudad de Mexico,,,,,,,,,,,,,,,,Avenida Pacífico 455,2017-09-20 08:58:25,,,Necesito,,Peritajes,,19.3393831,-99.1455352
347,,Florida,Álvaro Obregón,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 09:03:01,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos",,19.3490287,-99.1744868
348,,Condesa,Cuauhtemoc,Cdmx,,,,,,,,,,,,,,,,,2017-09-20 09:04:33,,,Ofrezco,,"Comida, Refugio / Dónde dormir, Ropa",,19.410688,-99.1789142
349,,Mirador I,Tlalpan ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 09:05:13,,,Ofrezco,,"Agua, Manos",,19.3030851,-99.1085644
350,,Centro,Tizayuca ,Hidalgo ,,,,,,,,,,,,,,,,,2017-09-20 09:05:48,,,Ofrezco,,"Agua, Manos, Ropa",,19.8336895,-98.9714623
351,,Lomas de memetla,Cuajimlapa,Cdmx,,,,,,,,,,,,,,,,Fuerza estamos todos juntos,2017-09-20 09:07:00,,,Ofrezco,,"Agua, Manos, Medicamentos, Ropa",,19.3587567,-99.2891095
352,,Claveria,Azcapotzalco,Distrito Federal,,,,,,,,,,,,,,,,,2017-09-20 09:13:26,,,Ofrezco,,"Transporte, Manos",,19.464347,-99.18681
353,,Mj,Mh,Cdmx,,,,,,,,,,,,,,,,Soy arquitecto,2017-09-20 09:22:10,,,Ofrezco,,Manos,,19.3955512,-99.1390835
354,,San Buenaventura ,Ixtapaluca ,Ixtapaluca ,,,,,,,,,,,,,,,,,2017-09-20 09:22:17,,,Ofrezco,,Manos,,19.3083938,-98.8610882
355,,Portales,Benito Juare,Cdmx,,,,,,,,,,,,,,,,,2017-09-20 09:23:45,,,Ofrezco,,Manos,,19.3643759,-99.1435601
356,,Lindavista,,CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,2017-09-20 09:24:26,,,Ofrezco,,"Comida, Agua",,19.4923947,-99.1257258
357,,Santa Cruz Acalpixca,xochimilco,cdmx,,,,,,,,,,,,,,,,,2017-09-20 09:26:21,,,Necesito,,Agua,,19.2506545,-99.0764613
358,,polanco,miguel hidalgo,CDMX,,,,,,,,,,,,,,,,"Teno 25 años, hombre",2017-09-20 09:29:32,,,Ofrezco,,"Agua, Manos",,19.4298517,-99.1819451
359,,Juarez,Cuauhtemoc,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 09:30:22,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Transporte, Manos, Artículos de limpieza, Medicamentos, Gasolina",,19.4341287,-99.1408188
360,,Pueblo San Juan Tlilhuaca,Azcapotzalco ,Ciudad de México ,,,,,,,,,,,,,,,,Comida preparada para brigadistas,2017-09-20 09:34:32,,,Ofrezco,,"Comida, Agua",,19.48802,-99.2077319
361,,Ex hacienda villa coapa,Coyoacan ,CDMX,,,,,,,,,,,,,,,,,2017-09-20 09:39:12,,,Ofrezco,,Manos,,19.296427,-99.12948
362,,Condesa,Cuauhtemoc,Ciudad de méxico,,,,,,,,,,,,,,,,,2017-09-20 09:41:09,,,Ofrezco,,"Comida, Agua, Manos",,19.410688,-99.1789142
363,,Centro,Amecameca,Mexico,,,,,,,,,,,,,,,,,2017-09-20 09:43:47,,,Necesito,,Comida,,19.1223754,-98.7667481
364,,Apatlaco,Iztapalapa,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 09:44:17,,,Ofrezco,,"Comida, Manos",,19.2966417,-99.1535955
365,,Narvarte,Benito Juárez,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 09:44:26,,,Ofrezco,,Manos,,19.4003398,-99.1573629
366,,Hipódromo condesa,Cuauhtemoc,Hipódromo condesa,,,,,,,,,,,,,,,,,2017-09-20 09:45:24,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Artículos de limpieza, Medicamentos, Ropa",,19.410688,-99.1789142
367,,Herradura,Huixquilucan,Estado de mexico,,,,,,,,,,,,,,,,,2017-09-20 09:45:57,,,Ofrezco,,"Transporte, Manos, Asistencia médica, Ropa",,19.3446879,-99.2987656
368,,Verónica Anzures,Miguel Hidalgo,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 09:48:41,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Ropa",,19.436516,-99.1739857
369,,San alvaro,Azcapotzalco,Cdmx,,,,,,,,,,,,,,,,Ingeniero civil dispuesto a ayudar,2017-09-20 09:49:10,,,Ofrezco,,"Transporte, Manos",,19.3054523,-99.1494088
370,,santa martha acatitla,iztapalapa,cidad de México,,,,,,,,,,,,,,,,,2017-09-20 09:52:24,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza",,19.3759769,-99.0083076
371,,El Molino,Alvaro Obregon,cdmx,,,,,,,,,,,,,,,,Médico Pediatra,2017-09-20 09:54:41,,,Ofrezco,,Asistencia médica,,19.2887091,-99.1215977
372,,Jardines de Morelos,,Estado de México,,,,,,,,,,,,,,,,,2017-09-20 09:56:27,,,Ofrezco,,"Manos, Medicamentos",,19.6029246,-98.9911196
373,,San Pablo Chimalpa,Cuajimalpa ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 09:56:30,,,Ofrezco,,"Comida, Manos",,19.369379,-99.269593
374,,Condesa,,Mexico,,,,,,,,,,,,,,,,Medico pasante ,2017-09-20 09:57:39,,,Ofrezco,,Asistencia médica,,19.4347413,-99.1402079
375,,Mixcoac,Benito Juarez,DF ,,,,,,,,,,,,,,,,,2017-09-20 09:59:49,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Ropa",,19.3648274,-99.1944858
376,,Puerta Grande,Álvaro Obregón,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 10:00:19,,,Ofrezco,,Manos,,19.4064868,-99.2292938
377,,Roma,Cuahutémoc,Cdmx,,,,,,,,,,,,,,,,Necesitaría gasolina pero pongo a disposición una pick up,2017-09-20 10:05:30,,,Ofrezco,,"Transporte, Manos, 5 cascos, 4 palas, 1 marro, cuerdas",,19.4199328,-99.159356
378,,La Concepción ,Coyoacán ,CIUDAD DE MÉXICO,,,,,,,,,,,,,,,,,2017-09-20 10:06:29,,,Ofrezco,,"Comida, Agua, Manos",,19.4867207,-99.2010747
379,,Mixcoac,Benito juarez,Cdmx,,,,,,,,,,,,,,,,,2017-09-20 10:07:24,,,Ofrezco,,"Comida, Agua, Transporte, Manos",,19.3728792,-99.1897381
380,,Condesa,Cuauhtemoc,Ciudad de méxico,,,,,,,,,,,,,,,,,2017-09-20 10:10:02,,,Ofrezco,,"Comida, Agua, Manos",,19.410688,-99.1789142
381,,Barrio de san miguel,Iztacalco,Ciudad de mexico,,,,,,,,,,,,,,,,,2017-09-20 10:15:25,,,Ofrezco,,Manos,,19.5688936,-99.1323632
382,,Cuajimalpa, Cuajimalpa,Ciudad de mexico,,,,,,,,,,,,,,,,,2017-09-20 10:15:28,,,Ofrezco,,"Comida, Agua, Transporte, Manos, Artículos de limpieza, Medicamentos",,19.379596,-99.2938053
383,,Olivar de los Padres,Alvaro Obregon,CDMX,,,,,,,,,,,,,,,,,2017-09-20 10:15:44,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Medicamentos",,19.3385736,-99.2142527
384,,Residencial Emperadores ,Benito Juárez ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 10:16:04,,,Ofrezco,,"Comida, Agua, Manos",,19.3660238,-99.1462314
385,,Del Carmen,Coyoacan,CDMX,,,,,,,,,,,,,,,,,2017-09-20 10:18:15,,,Ofrezco,,"Comida, Refugio / Dónde dormir, Transporte, Manos, Ropa",,19.3451882,-99.1869414
386,,el molinito,naucalpan,estado de México,,,,,,,,,,,,,,,,"A dónde puedo ir ahorita a ayudar en lo que se pueda, sólo cuento con mis manos.",2017-09-20 10:19:33,,,Ofrezco,,Manos,,19.4579914,-99.2368196
387,,Tizapan ,Álvaro Obregón ,CDMX,,,,,,,,,,,,,,,,,2017-09-20 10:20:32,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza",,19.34161,-99.19783
388,,Ejidos tecamac,Tecamac,Mexico,,,,,,,,,,,,,,,,,2017-09-20 10:20:49,,,Ofrezco,,"Agua, Manos",,19.6884655,-98.970772
389,,San Jerónimo ,Magdalena Contreras,Ciudad de Mexico,,,,,,,,,,,,,,,,,2017-09-20 10:27:09,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos, Ropa",,19.321644,-99.2204485
390,,Heroes de Padierna,Tlalpan,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 10:27:49,,,Ofrezco,,"Manos, Medicamentos",,19.2831289,-99.2217537
391,,Prados de Ixtacala,Atizapan de Zargoza,México,,,,,,,,,,,,,,,,,2017-09-20 10:28:08,,,Ofrezco,,Manos,,19.5996076,-99.2404532
392,,Del Valle ,Benito juarez,CD.MX. ,,,,,,,,,,,,,,,,Preparada o enlatada,2017-09-20 10:28:21,,,Ofrezco,,"Comida, Artículos de limpieza",,19.3910737,-99.1657372
393,,Roma Norte,Cuahutemoc,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 10:28:23,,,Ofrezco,,"Comida, Agua, Manos",,19.4191628,-99.1565023
394,,Miguel Hidalgo ,,DF,,,,,,,,,,,,,,,,,2017-09-20 10:29:17,,,Ofrezco,,"Comida, Agua, Transporte, Manos, Artículos de limpieza, Medicamentos, Ropa",,19.4306575,-99.2083953
395,,Roma Norte,Cuahutemoc,Cuudad de Mexico,,,,,,,,,,,,,,,,,2017-09-20 10:29:55,,,Ofrezco,,"Comida, Agua, Manos",,19.4191628,-99.1565023
396,,San Miguel Chapultepec ,Miguel Hidalgo,Cdmx,,,,,,,,,,,,,,,,,2017-09-20 10:29:53,,,Ofrezco,,Manos,,19.4114729,-99.1885208
397,,Roma,Cuauhtemoc,Distrito federal,,,,,,,,,,,,,,,,,2017-09-20 10:31:25,,,Ofrezco,,Asistencia psicológica,,19.4294428,-99.157727
398,,,Cuauhtemoc ,Distrito federal ,,,,,,,,,,,,,,,,,2017-09-20 10:31:33,,,Ofrezco,,"Comida, Agua, Transporte",,19.4326077,-99.133208
399,,Lomas de Chapultepec ,Miguel hidalgo,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 10:34:09,,,Ofrezco,,Manos,,19.4249374,-99.2134442
400,,Guadalupe Inn,,Ciudad de Mexico,,,,,,,,,,,,,,,,,2017-09-20 10:34:42,,,Ofrezco,,"Comida, Agua, Transporte, Manos, Artículos de limpieza, Medicamentos, Ropa",,19.3585861,-99.185752
401,,santa maria,cuauhtemoc,ciudad de mexico,,,,,,,,,,,,,,,,,2017-09-20 10:35:16,,,Ofrezco,,Manos,,19.3774655,-99.1111752
402,,El reloj,Coyoacan ,Mexico df ,,,,,,,,,,,,,,,,,2017-09-20 10:37:00,,,Ofrezco,,Manos,,19.41119,-99.162582
403,,Pedrrgal de Santa Úrsula Xitla ,Tlalpan,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 10:37:53,,,Ofrezco,,Ropa,,19.2727436,-99.1795226
404,,Parque San Andrés,Coyoacan ,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 10:38:32,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Ropa",,19.3457563,-99.1452413
405,,Santa ana poniente,Tlahuac,Df,,,,,,,,,,,,,,,,,2017-09-20 10:39:15,,,Ofrezco,,Manos,,19.3032689,-99.0492226
406,,Anáhuac,Miguel Hidalgo,CDMX,,,,,,,,,,,,,,,,,2017-09-20 10:40:29,,,Ofrezco,,"Manos, Carpas, tiendas de campaña",,19.4445835,-99.1746778
407,,Mancha 111,Naucalpan,México,,,,,,,,,,,,,,,,,2017-09-20 10:42:19,,,Ofrezco,,"Manos, Artículos de limpieza, Medicamentos, Ropa",,19.4415078,-99.1950757
408,,Zacuahutitla,,Estado de mexico,,,,,,,,,,,,,,,,,2017-09-20 10:48:34,,,Ofrezco,,Manos,,19.6312355,-99.0972012
409,,Campestre,Cajeme,Sonora,,,,,,,,,,,,,,,,,2017-09-20 10:49:15,,,Ofrezco,,Llamadas telefónicas ,,27.479008,-109.9392655
410,,Hipódromo,Cuauhtémoc ,Ciudad de México ,,,,,,,,,,,,,,,,Edificio de departamentos ,2017-09-20 10:51:36,,,Necesito,,Peritajes,,19.4078372,-99.1701578
411,,San Juan de Aragón ,Gustavo a Madero ,Df Gustavo a Madero ,,,,,,,,,,,,,,,,,2017-09-20 10:51:44,,,Ofrezco,,"Refugio / Dónde dormir, Medicamentos",,19.4686303,-99.0923614
412,,Polanco,,Cdmx,,,,,,,,,,,,,,,,Para transportar comida preparada a rescatistas y afectados,2017-09-20 10:51:49,,,Necesito,,Tarrinas de plastico,,19.4340199,-99.1956012
413,,Centro,Cuauhtemoc,CDMX,,,,,,,,,,,,,,,,,2017-09-20 10:54:15,,,Ofrezco,,"Comida, Agua, Manos, Medicamentos, Ropa",,19.431583,-99.1387334
414,,Cuauhtémoc ,Cuauhtémoc ,CDMX ,,,,,,,,,,,,,,,,,2017-09-20 10:56:51,,,Ofrezco,,"Refugio / Dónde dormir, Manos, Artículos de limpieza",,19.4251019,-99.1729965
415,,LINDAVISTA VALLEJO II,GUSTAVO A MADERO,CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,2017-09-20 10:57:01,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos",,19.4923947,-99.1257258
416,,Condesa,Cuauhtémoc,Ciudad mexico,,,,,,,,,,,,,,,,,2017-09-20 10:57:28,,,Ofrezco,,"Agua, Carpas, tiendas de campaña, Cascos, picos, guantes",,19.4347413,-99.1402079
417,,Atotonolquillo,Chapala ,Jalisco,,,,,,,,,,,,,,,,"Atención vía telefónica, whatsapp, vía Messenger",2017-09-20 10:58:36,,,Ofrezco,,Atención Psicologica a distancia ,,20.6831945,-103.2671958
418,,Villa de guadalupe xalostoc,Ecatepec,Mexico,,,,,,,,,,,,,,,,,2017-09-20 11:00:09,,,Ofrezco,,"Comida, Agua, Asistencia médica",,19.5195055,-99.0637683
419,,Las alamedas ,Atizapán de Zaragoza ,Estado de mexico,,,,,,,,,,,,,,,,Refugio a mujeres con niños ,2017-09-20 11:02:31,,,Ofrezco,,"Comida, Agua, Refugio a mujeres con niños o llamadas para status de localización o Edo de salud de personas ",,19.5528761,-99.2466874
420,,General anaya,Benito juarez,Ciudad de mexico,,,,,,,,,,,,,,,,Soy medico,2017-09-20 11:02:48,,,Ofrezco,,"Comida, Agua, Transporte, Manos, Asistencia médica",,19.3476639,-99.0344803
421,,Albert,Benito juarez,CD MX,,,,,,,,,,,,,,,,,2017-09-20 11:05:17,,,Ofrezco,,Picos palas carretillas ,,19.3696804,-99.1374827
422,,Sector popular,Iztapalapa,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 11:07:38,,,Ofrezco,,"Refugio / Dónde dormir, Manos, Asistencia médica, Artículos de limpieza, Medicamentos",,19.3304345,-99.0239896
423,,MERCED GOMEZ,ALVARO OBREGON,CDMX,,,,,,,,,,,,,,,,,2017-09-20 11:09:02,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Transporte, Manos, Artículos de limpieza, Ropa",,19.3669184,-99.190962
424,,Guadalupe inn ,Álvaro Obregón,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 11:11:28,,,Ofrezco,,Manos,,19.3611719,-99.1882645
425,,del valle centro,Benito juarez,ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 11:12:01,,,Ofrezco,,"Refugio / Dónde dormir, Ropa",,19.3825407,-99.1651135
426,,Tepepan,Xochimilco,Ciudad de mexico,,,,,,,,,,,,,,,,,2017-09-20 11:12:36,,,Ofrezco,,"Comida, Agua, Refugio / Dónde dormir, Manos, Artículos de limpieza",,19.2646898,-99.1290993
427,,Fuentes brotantes,,Cdmx,,,,,,,,,,,,,,,,,2017-09-20 11:12:56,,,Ofrezco,,"Comida, Manos",,19.2843854,-99.1822911
428,,San Cristóbal texcalucan,Huixquilucan,México,,,,,,,,,,,,,,,,,2017-09-20 11:13:04,,,Ofrezco,,"Refugio / Dónde dormir, Carpas, tiendas de campaña",,19.4039659,-99.3354027
429,,Nochebuena ,Benito Juárez ,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 11:15:24,,,Ofrezco,,"Comida, Agua, Artículos de limpieza, Medicamentos",,19.3791093,-99.1817553
430,,Del Mar,Tláhuac,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 11:19:54,,,Ofrezco,,Peritajes,,19.2868303,-99.0598732
431,,Del valle,Benito Juarez,Ciudad de Mexico,,,,,,,,,,,,,,,,,2017-09-20 11:20:03,,,Ofrezco,,"Comida, Transporte, Artículos de limpieza, Ropa",,19.3910737,-99.1657372
432,,San Jeronimo,,Distrito Federal,,,,,,,,,,,,,,,,,2017-09-20 11:21:53,,,Ofrezco,,Transporte,,19.3271667,-99.2245237
433,,Olímpica,Coyoacán,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 11:22:46,,,Ofrezco,,"Comida, Refugio / Dónde dormir, Transporte, Manos, Ropa",,19.3586844,-99.1544652
434,,Adolfo López Mateos ,Xalapa,Veracruz ,,,,,,,,,,,,,,,,Hablo inglés al 100%. Quero ayudar a niños especialmente. Pero en general hay información de ayuda que traducir para tener ayuda del extranjero. Hay niños que necesitan quien les de algo en que pensar que no sea terror. Alguna vez leí que en holanda daban clases de arte en los refugios a niños como terapia. Quiero hacer eso.,2017-09-20 11:23:14,,,Ofrezco,,Soy diseñador gráfico / maestra de arte / cocinera ,,19.5470558,-96.9364898
435,,Roma Norte,Cuauhtémoc,Ciudad de México,,,,,,,,,,,,,,,,,2017-09-20 11:24:09,,,Ofrezco,,Manos,,19.4191628,-99.1565023
436,,Roma sur ,Cuauhtémoc ,Df,,,,,,,,,,,,,,,,,2017-09-20 11:24:42,,,Ofrezco,,Manos,,19.4070279,-99.1678473
437,,Valle centro,Benito juarez ,Mexico,,,,,,,,,,,,,,,,,2017-09-20 11:25:30,,,Ofrezco,,Manos,,19.3797151,-99.1677132
438,,Pedregal del Carrasco,Coyoacan,CDMX,,,,,,,,,,,,,,,,"Isodine, Gasas, Vendas, Guantes, Cubrebocas, suturas, jeringas",2017-09-20 11:25:38,,,Ofrezco,,Materiales de Curación,,19.3022228,-99.1656876
439,,Jardines en la montaña ,Tlalpan,Ciudad de México ,,,,,,,,,,,,,,,,,2017-09-20 11:25:55,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos, Ropa",,19.3017806,-99.2023662
440,,Florida ,Álvaro Obregón ,CDMX,,,,,,,,,,,,,,,,Quiero ayudar! ,2017-09-20 11:29:02,,,Ofrezco,,"Comida, Agua, Transporte, Manos",,19.3490287,-99.1744868
441,,La que sea,,CDMX,,,,,,,,,,,,,,,,,2017-09-20 11:30:06,,,Ofrezco,,"Comida, Agua, Manos, Artículos de limpieza, Medicamentos",,19.3970191,-99.1151547
