Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento,Clave de Oficina
4939,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección X,4831
5214,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Residencial,Club de Golf Bosques,5501
5240,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,El Molino,5501
5320,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,El Yaqui,5501
5600,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Pueblo,San Mateo Tlaltenango,5501
6350,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Buenavista,6401
6820,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Tránsito,6721
7040,Ciudad de México,Gustavo A. Madero,Ciudad de México,Pueblo,Santiago Atzacoalco,7001
7058,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,15 de Agosto,7001
7069,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Triunfo de La República,7001
7090,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,C.T.M. El Risco,7001
7130,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Compositores Mexicanos,7201
7130,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,El Tepetatal,7201
7140,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Forestal,7201
3313,Ciudad de México,Benito Juárez,Ciudad de México,Unidad habitacional,Modulo Social las Flores,3501
3930,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Merced Gómez,3901
4010,Ciudad de México,Coyoacán,Ciudad de México,Barrio,Barrio Santa Catarina,4331
4120,Ciudad de México,Coyoacán,Ciudad de México,Colonia,San Mateo,4331
4260,Ciudad de México,Coyoacán,Ciudad de México,Barrio,San Francisco Culhuacán Barrio de La Magdalena,4831
4260,Ciudad de México,Coyoacán,Ciudad de México,Barrio,San Francisco Culhuacán Barrio de Santa Ana,4831
4330,Ciudad de México,Coyoacán,Ciudad de México,Colonia,El Rosedal,4331
4359,Ciudad de México,Coyoacán,Ciudad de México,Condominio,Empleados Federales,4331
4360,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Copilco El Alto,4331
4370,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Atlántida,4331
4420,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Ex-Ejido de San Francisco Culhuacán,4831
4470,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Presidentes Ejidales 1a Sección,4831
4490,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección Piloto,4831
4909,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección IX-A,4831
4909,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección IX-B,4831
5118,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Granjas Palo Alto,5501
5119,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Campestre Palo Alto,5501
5269,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Amado Nervo,5501
5330,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Lomas de Memetla,5501
5348,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Santa Fe Cuajimalpa,5501
5379,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Lomas de San Pedro,5501
5410,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,1° de Mayo,5501
6000,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Centro (Área 1),6002
6050,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Centro (Área 5),6002
6090,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Centro (Área 9),6002
6220,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Peralvillo,6401
6240,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Valle Gómez,6401
6250,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Ex-Hipódromo de Peralvillo,6401
6500,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Cuauhtémoc,6401
7060,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Estanzuela,7001
7080,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Gabriel Hernández,7001
7110,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Lomas de Cuautepec,7201
7119,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Malacates,7201
7144,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Forestal II,7201
7180,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,General Felipe Berriozabal,7201
7180,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Ampliación Cocoyotes,7201
7209,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Guadalupe Victoria Cuautepec,7201
7224,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Ampliación Castillo Grande,7201
7269,Ciudad de México,Gustavo A. Madero,Ciudad de México,Unidad habitacional,El Arbolillo CTM,7201
7320,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Residencial la Escalera,7311
7350,Ciudad de México,Gustavo A. Madero,Ciudad de México,Barrio,San Juan y Guadalupe Ticomán,7311
3820,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,8 de Agosto,3901
3910,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Mixcoac,3901
4100,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Del Carmen,4331
4120,Ciudad de México,Coyoacán,Ciudad de México,Colonia,San Diego Churubusco,4331
4210,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Churubusco Country Club,4831
4230,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Prado Churubusco,4831
4260,Ciudad de México,Coyoacán,Ciudad de México,Barrio,San Francisco Culhuacán Barrio de San Juan,4831
4300,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Ajusco,4331
4330,Ciudad de México,Coyoacán,Ciudad de México,Unidad habitacional,Pedregal de Coyoacán,4331
4340,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Copilco El Bajo,4331
4350,Ciudad de México,Coyoacán,Ciudad de México,Unidad habitacional,Integración Latinoamericana,4331
4368,Ciudad de México,Coyoacán,Ciudad de México,Unidad habitacional,Residencial la Cantera,4331
4440,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección I,4831
4470,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Presidentes Ejidales 2a Sección,4831
4480,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección X-A,4831
4730,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Cantil del Pedregal,4331
4738,Ciudad de México,Coyoacán,Ciudad de México,Condominio,Modulo Social Imán,4331
4910,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Carmen Serdán,4831
4919,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Emiliano Zapata Fraccionamiento Popular,4831
5000,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Cuajimalpa,5501
5050,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Pueblo,San Pablo Chimalpa,5501
5120,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Bosques de las Lomas,5501
5310,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,El Molinito,5501
5330,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Ampliación Memetla,5501
5370,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Las Tinajas,5501
5500,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Contadero,5501
5730,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Xalpa,5501
7070,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,La Cruz,7001
7100,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Cuautepec Barrio Alto,7201
7150,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,La Casilda,7201
7189,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Ahuehuetes,7201
7210,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Chalma de Guadalupe,7201
7220,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Castillo Chico,7201
7280,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Jorge Negrete,7201
7290,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,La Pastora,7201
7380,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Tlacamaca,2301
7420,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,El Coyol,7001
7420,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Nueva Atzacoalco,7001
7440,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Vasco de Quiroga,7001
7480,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,San Pedro El Chico,7001
7509,Ciudad de México,Gustavo A. Madero,Ciudad de México,Conjunto habitacional,La Pradera 1a Sección,7501
7530,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Campestre Aragón,7501
2230,Ciudad de México,Azcapotzalco,Ciudad de México,Pueblo,Santa Bárbara,2011
2320,Ciudad de México,Azcapotzalco,Ciudad de México,Pueblo,San Andrés de las Salinas,2601
2420,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Ex-Hacienda El Rosario,2011
2525,Ciudad de México,Azcapotzalco,Ciudad de México,Unidad habitacional,Granjas Pantaco Campamento Ferrocarrilero,2011
2700,Ciudad de México,Azcapotzalco,Ciudad de México,Pueblo,San Miguel Amantla,2011
2719,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Ampliación San Pedro Xalpa,2011
2760,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Industrial San Antonio,2011
2770,Ciudad de México,Azcapotzalco,Ciudad de México,Pueblo,Santa Cruz Acayucan,2011
2950,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Del Gas,2601
3600,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Vértiz Narvarte,3501
3720,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Nochebuena,3901
3840,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Ampliación Nápoles,3901
4040,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Parque San Andrés,4331
4250,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Paseos de Taxqueña,4831
4270,Ciudad de México,Coyoacán,Ciudad de México,Unidad habitacional,Santa Martha del Sur Quetzalcoatl,4831
4310,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Romero de Terreros,4331
4319,Ciudad de México,Coyoacán,Ciudad de México,Fraccionamiento,Fortín de Chimalistac,4331
4330,Ciudad de México,Coyoacán,Ciudad de México,Pueblo,Pueblo de los Reyes,4331
4340,Ciudad de México,Coyoacán,Ciudad de México,Unidad habitacional,Copilco Universidad ISSSTE,4331
4410,Ciudad de México,Coyoacán,Ciudad de México,Unidad habitacional,Tlalpan FOVISSSTE,4831
4510,Ciudad de México,Coyoacán,Ciudad de México,Equipamiento,Universidad Nacional Autónoma de México,4331
4700,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Pedregal de Carrasco,4331
4730,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Bosques de Tetlameya,4331
4800,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Alianza Popular Revolucionaria,4831
4840,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Ex-Ejido de San Pablo Tepetlapa,4831
4849,Ciudad de México,Coyoacán,Ciudad de México,Unidad habitacional,Sector Marina,4831
4870,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Espartaco,4831
4960,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Villa Quietud,4831
5100,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Lomas de Vista Hermosa,5501
5129,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Lomas del Chamizal,5501
5230,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,El Ébano,5501
5238,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Unidad habitacional,Nueva Rosita,5501
5268,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Unidad habitacional,Villas de Cuajimalpa,5501
5360,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Locaxco,5501
5610,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Pueblo,Santa Rosa Xochiac,5501
5619,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Fraccionamiento,Prados de la Montaña,5501
5760,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Las Lajas,5501
5780,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Agua Bendita,5501
6040,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Centro (Área 4),6002
6100,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Hipódromo,6721
2060,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Un Hogar Para Cada Trabajador,2011
2240,Ciudad de México,Azcapotzalco,Ciudad de México,Pueblo,San Andrés,2011
2410,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Prados del Rosario,2011
2440,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Providencia,2011
2479,Ciudad de México,Azcapotzalco,Ciudad de México,Unidad habitacional,Lázaro Cárdenas,2011
2490,Ciudad de México,Azcapotzalco,Ciudad de México,Barrio,San Mateo,2011
2600,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Pro-Hogar,2601
2630,Ciudad de México,Azcapotzalco,Ciudad de México,Barrio,Coltongo,2601
2640,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Monte Alto,2601
2720,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,San Antonio,2011
2730,Ciudad de México,Azcapotzalco,Ciudad de México,Pueblo,San Francisco Tetecala,2011
2739,Ciudad de México,Azcapotzalco,Ciudad de México,Unidad habitacional,Miguel Lerdo de Tejada,2011
2780,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Plenitud,2011
2850,Ciudad de México,Azcapotzalco,Ciudad de México,Unidad habitacional,Tlatilco,2601
2940,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,Porvenir,2601
3020,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Narvarte Poniente,3001
3023,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Narvarte Oriente,3001
3420,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Miguel Alemán,3501
3560,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Albert,3501
3570,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Portales Oriente,3501
3580,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Miravalle,3501
3630,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Independencia,3501
3660,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,San Simón Ticumac,3501
3700,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Santa María Nonoalco,3901
3920,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Insurgentes Mixcoac,3901
4000,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Villa Coyoacán,4331
4240,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Hermosillo,4831
4320,Ciudad de México,Coyoacán,Ciudad de México,Fraccionamiento,Romero de Terreros,4331
4326,Ciudad de México,Coyoacán,Ciudad de México,Fraccionamiento,Villa de San Francisco,4331
4390,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Huayamilpas,4331
4650,Ciudad de México,Coyoacán,Ciudad de México,Pueblo,Pueblo de Santa Úrsula Coapa,4331
4660,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Joyas del Pedregal,4331
4899,Ciudad de México,Coyoacán,Ciudad de México,Colonia,El Parque de Coyoacán,4831
4909,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección VIII,4831
4930,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Santa Cecilia,4831
4980,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Ex-Ejido de Santa Úrsula Coapa,4831
5030,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,San Pedro,5501
5030,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,La Manzanita,5501
5060,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Unidad habitacional,José María Castorena,5501
2990,Ciudad de México,Azcapotzalco,Ciudad de México,Colonia,La Raza,2601
3000,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Piedad Narvarte,3001
3103,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Del Valle Norte,3001
3104,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Del Valle Sur,3001
3303,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Portales Norte,3501
3320,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Residencial Emperadores,3501
3330,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Xoco,3501
3810,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Nápoles,3901
3900,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,San José Insurgentes,3901
3940,Ciudad de México,Benito Juárez,Ciudad de México,Colonia,Crédito Constructor,3901
4360,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Copilco Universidad,4331
4370,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Ciudad Jardín,4331
4480,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Culhuacán CTM Sección VI,4831
4530,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Insurgentes Cuicuilco,4331
4620,Ciudad de México,Coyoacán,Ciudad de México,Pueblo,Pueblo de San Pablo Tepetlapa,4331
4890,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Los Olivos,4831
4920,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Los Girasoles,4831
4929,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Las Campanas,4831
4970,Ciudad de México,Coyoacán,Ciudad de México,Colonia,Haciendas de Coyoacán,4831
5039,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Campamento,Ahuatenco,5501
5110,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Cooperativa Palo Alto,5501
5200,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,San José de los Cedros,5501
5219,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Granjas Navidad,5501
5330,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Memetla,5501
5410,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Pueblo,San Lorenzo Acopilco,5501
5700,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Cruz Blanca,5501
5710,Ciudad de México,Cuajimalpa de Morelos,Ciudad de México,Colonia,Las Maromas,5501
6080,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Centro (Área 8),6002
6450,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Atlampa,6401
6470,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,San Rafael,6401
6840,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Esperanza,6721
6870,Ciudad de México,Cuauhtémoc,Ciudad de México,Colonia,Paulino Navarro,6721
7010,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Rosas del Tepeyac,7001
7050,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Villa Gustavo A. Madero,7001
7119,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Ampliación Malacates,7201
7140,Ciudad de México,Gustavo A. Madero,Ciudad de México,Colonia,Arboledas,7201
